Country,Year,Carbon_Intensity_of_Electricity,CO2_Intensity,Coal_Production_Volume,Energy_Intensity,Share_of_Renewables_in_Electricity_Production,Gas_Flaring_Volume,Total_Methane_Emissions,Natural_Gas_Production_Volume,Oil_Production_Volume,CO2_emissions,Population_Size,Surface_Area,GDP,Fossil_Fuel_Consumption_per_Capita,Urban_Population,Electricity_Production,Unsafe_sanitation,Phosphorus_Surplus,Adjusted_emissions_growth_rate_for_nitrous_oxides,Adjusted_emissions_growth_rate_for_carbon_dioxide__country_specific_targets,GHG_growth_rate_adjusted_by_per_capita_emissions,Regional_Marine_Trophic_Index,Ozone_exposure,Adjusted_emissions_growth_rate_for_sulfur_dioxide,Fish_Stock_Status,Species_Protection_Index,Net_carbon_fluxes_due_to_land_cover_change,NO2_exposure,Anthropogenic_PM2_5_exposure,Red_List_Index,Adjusted_emissions_growth_rate_for_black_carbon,Bottom_Trawling_in_Global_Ocean,Bottom_Trawling_in_EEZ,Adjusted_emissions_growth_rate_for_carbon_dioxide,Relative_Crop_Yield,Adjusted_emissions_growth_rate_for_nitrous_oxide,Sustainable_Nitrogen_Management_Index,Lead_exposure,GHG_growth_rate_adjusted_by_emissions_intensity,Fish_Catch_Discarded,Unsafe_drinking_water,Household_solid_fuels,Adjusted_emissions_growth_rate_for_methane,Terrestrial_Biome_Protection,Adjusted_emissions_growth_rate_for_F-gases
Algeria,2010,0.775078275,-1.053086243,0,-1.28478146,-0.873861928,-1.117863986,-0.274932895,-1.285944773,0.062190494,-0.184793084,-0.04305693,-0.562731434,0.373135965,-0.264072052,-0.010390776,-0.167817228,-0.362909996,-0.952174558,0.790699672,-0.524057263,-0.378903407,-1.069086658,0.323555441,-0.012994919,-0.26783533,0.782047956,-0.127987041,-0.751778064,0.60513526,0.078058936,0.684480682,0.450976219,0.263462865,0.522611208,0.351253938,0.311791191,-0.294041342,-0.007312687,-0.349709741,0.532820543,-0.2679737,-0.51371918,0.198804221,0.354107142,-0.500547234
Algeria,2011,-0.820614208,-1.126245516,0,-1.367782881,0.806036932,-0.359733418,-0.362520567,-0.917770997,-0.193227429,0.027971669,0.1388385,-0.562731434,1.088884262,-0.055811523,0.167704733,0.122832603,-0.520590925,-0.952174558,0.7621046,-0.463919544,-0.340709229,-0.969238927,0.377912261,-0.512709098,0.242172321,0.783357974,-0.300062912,-0.426389534,-1.010878589,-0.128948187,0.611403777,-0.662325816,-0.951627108,0.464562645,0.805069282,0.754522523,-0.376429267,-0.132488833,-0.297470538,0.60495473,-0.407834227,-0.592214986,0.082444659,0.369197967,-0.707908076
Algeria,2012,-1.079919805,-0.824600071,0,-0.929406309,1.094967351,0.39839715,0.016124267,-1.110869131,-0.736052062,0.483114116,0.328628363,-0.562731434,1.255731118,0.365563509,0.351697297,0.448931149,-0.659719691,-0.952174558,0.971748428,-0.558421674,-0.372646567,-0.682869733,-0.598113996,-0.747255662,0.752320278,0.783357974,-0.504223759,0.278344912,-0.611361961,-0.292828827,0.990969202,-0.763259798,-0.947198258,0.561067778,0.93260224,0.917026396,-0.588878834,-0.375919835,-0.328811874,0.604000735,-0.530201448,-0.659607615,-0.349786098,0.369197967,-0.886697199
Algeria,2013,0.338115369,-0.763692035,0,-0.694475254,-0.37563764,0.804099194,-0.352608955,-0.961218412,-1.031364147,0.61476468,0.52451699,-0.562731434,1.268568329,0.608730669,0.540382965,0.579674395,-0.7282356,-0.064582517,0.942326818,-0.652923803,-0.478505814,-0.235473428,0.453589854,-1.327142717,0.880112338,0.783357974,-0.709548631,1.081470699,-1.928326631,-0.47396006,1.239176803,-1.014135996,-1.229889409,0.654209304,1.402935933,1.012680927,-1.074217246,-0.581918184,-0.427042989,0.702000076,-0.633508169,-0.713452714,-0.30402125,0.369197967,-1.018151814
Algeria,2014,0.775270451,-0.533730573,0,-0.271046555,-0.825955896,1.155783474,0.363707505,-0.821865591,-0.546434138,0.895446787,0.72556155,-0.562731434,1.343359839,1.055757271,0.733347777,0.809078293,-0.79454086,0.823009524,0.943527582,-0.592786084,-0.52846629,0.329215152,0.673502283,-1.544232801,0.625012856,0.783357974,-0.884314366,1.694273148,-0.679527095,-0.749969557,1.341172329,-1.075337919,-1.242710201,0.589660651,0.060902814,1.650966178,-0.938664873,-0.772038819,-0.46983935,0.781546843,-0.738320346,-0.756110808,-0.273716597,0.369197967,-1.074888479
Algeria,2015,0.958666813,-0.395536109,0,-0.122982118,-1.018845322,1.453391697,0.490445559,-0.614769096,-0.734471218,1.170013038,0.932811544,1.688194302,0.461152016,1.291104578,0.931095178,1.049507986,-0.864929499,0.836970077,0.853096808,-1.048114526,-0.976791257,0.916392925,0.719012107,-1.413668011,0.242363633,0.783357974,-1.014675473,1.897841,-0.732776483,-0.948351384,1.298957471,-1.078721964,-0.818066892,1.047214838,0.104927821,1.392431393,-0.864136187,-0.876013506,-0.935622511,0.817056738,-0.848271262,-0.790116312,-0.098794136,0.369197967,-1.036177122
Algeria,2016,0.514016895,-0.676473059,0,-0.407244587,-0.576876785,1.053144993,1.536344019,1.053921449,-0.589490721,1.126236916,1.14355256,1.688194302,0.351500838,1.139674029,1.132013206,1.165862682,-0.945560335,0.836970077,0.629015762,-1.065296731,-1.172463241,1.400282147,-0.402324682,-1.206310559,0.242172321,0.783357974,-1.106914371,1.636793379,0.182337823,-1.112232023,0.997840675,-1.334481404,-0.631555845,1.069168723,-1.081150148,0.596091484,-0.752285215,-1.235584949,-1.122672401,0.721847445,-0.988725432,-0.81787128,0.753408491,0.369197967,-0.943920771
Algeria,2017,-0.468365658,-0.492272471,0,-0.432664508,0.431247071,1.228030066,1.521117376,1.318786887,-0.804649182,1.236642583,1.354569384,1.688194302,0.537105515,1.072203588,1.333693711,1.431987417,-1.051632543,0.836970077,0.359019952,-1.082478936,-1.263693746,1.741335091,-0.571571866,-0.788089642,1.645410783,0.783357974,-1.179675214,1.138746364,-1.615036071,-1.345115037,0.757196059,-1.047883203,-0.955482367,1.080827708,-1.158479783,0.30462962,-0.588300181,-1.405239084,-1.237380689,1.337702397,-1.167352794,-0.840438767,1.067809911,0.369197967,-0.832481302
Algeria,2018,-0.957255198,-0.266482128,0,0.090960173,0.918974747,1.169843806,1.587206137,1.463772656,-0.964711709,1.468398323,1.56379795,1.688194302,0.625896225,1.440448727,1.534838549,1.46643292,-1.117564502,0.836970077,0.00106209,-0.970794602,-1.299069501,1.884216079,0.571726662,-0.961606773,2.028429938,0.788598046,-1.221564745,0.638081047,-0.653452888,-1.577998051,0.452473982,-0.790015482,-0.646046583,0.973795252,1.793372228,-0.407810388,-0.686899215,-1.470115961,-1.292619151,1.662735075,-1.278854476,-0.858083802,1.57934882,0.369197967,-0.690330318
Algeria,2019,-0.972607382,-0.045951786,0,0.334806189,0.95468199,1.383414498,1.09514425,0.311619788,-1.086581919,1.652193792,1.769823745,1.688194302,0.567778334,1.572380837,1.734249221,1.723325517,-1.180918973,-1.090384036,-0.275767401,-0.953612396,-1.175538581,1.846633755,0.803968082,-0.422753199,1.517861042,0.820693485,-1.243359084,0.381795649,-0.714997018,-1.733253394,0.217584261,-0.769165855,-0.697013066,0.949476389,1.200623191,-0.846990036,-1.013198745,-1.591008014,-1.174911314,1.411311121,-1.39216742,-0.872937877,1.041837126,0.407901325,-0.550131136
Argentina,2000,-0.671195734,1.055657171,2.878010309,0.804884964,0.571128553,1.063753752,-0.382795308,-0.767131093,1.080003343,-1.29842926,-1.575294656,0,-0.592079904,-1.051085849,-1.584689889,-1.521384683,1.773094147,0.223606798,0.656083572,-0.500400211,-0.1968512,-1.000960066,-1.093454899,0.102936512,0.140721479,-2.412617051,-1.653651549,-0.245063287,0.266742865,2.197910784,-0.640511273,-0.34796818,-0.23752483,0.496185808,-1.369434202,0.073876735,2.683671446,1.66814913,-0.441018686,1.931354376,1.579665107,1.635338967,0.292121841,-2.045709364,-0.670525652
Argentina,2001,-1.884183058,0.828585628,1.604114159,1.045479647,1.923070115,1.18246784,-0.491275244,-0.843265986,1.534085163,-1.6212864,-1.405902842,0,-0.683041199,-1.721331352,-1.414230865,-1.456692273,1.618255558,0.223606798,-0.056493868,-0.200275517,0.067071068,-1.246897999,-1.454304533,-0.411254126,-0.115133448,-1.974103063,-1.604727848,-0.361937225,0.468882145,1.720233896,-1.670483596,0.342630492,0.245254971,0.196366424,-1.007180591,0.036735804,1.181345931,1.585842524,-0.309242867,2.225723845,1.417289969,1.458411341,0.263987462,-1.709899898,0.798719693
Argentina,2002,-2.048945944,1.231324882,-0.838974078,2.038726483,2.238664302,1.191351663,-0.004502638,-1.133709005,1.418860265,-1.980067675,-1.238654269,0,-1.685938293,-2.107021431,-1.245879275,-1.724797796,1.549799042,0.223606798,-0.95701197,0.365344099,0.413943987,-1.468588161,-1.249159539,-0.566577243,-0.456273351,-1.606699451,-1.474608383,-0.577387335,1.104650673,1.541105062,-1.805716899,0.843299823,0.815246885,-0.364288531,-0.769564563,0.057888082,-0.028999688,1.623292226,-0.250131081,0.814888832,1.479903581,1.396323802,0.34876518,-1.544203296,1.002683504
Argentina,2003,-1.559189109,1.050042966,-0.088596534,1.76089686,1.397589654,0.573320128,1.255901762,0.256468041,1.387194776,-1.510750261,-1.076118433,0,-1.510767287,-1.533978802,-1.081707313,-1.374521489,1.24440821,0.223606798,-1.467010029,0.792444625,0.283489466,-1.659529821,-0.941315982,-0.519376124,-1.138553157,-0.907447415,-1.212243836,-0.814189917,1.436765327,1.075370096,-1.705660577,0.925614212,0.959862095,-0.796989253,-0.371825675,0.394175794,-0.056947793,1.418749346,-0.21547126,1.300151744,1.184420539,1.310631683,0.58541435,-1.105695472,1.307276486
Argentina,2004,-0.621280241,1.878496005,-0.751720836,1.335174732,0.36732352,-0.028985584,1.573907154,1.339283655,1.023432517,-0.878852921,-0.914617835,0,-1.293315414,-0.899779393,-0.918177135,-0.99889313,0.882037455,0.223606798,-1.337259477,0.723185081,-0.233041924,-1.309615975,-1.019777756,-0.430512094,-0.285464576,-0.389921898,-0.875941222,-0.990830069,0.36846776,0.848473574,-1.18178339,1.486673154,1.511814186,-0.717650004,-1.212124165,0.732524701,0.155173187,0.996026635,-0.536128157,0.968359406,0.8106938,1.094558832,0.839104618,-0.689560384,1.570428813
Argentina,2005,-0.632797698,1.120625993,-1.205437017,0.936990512,0.683823209,-0.54695032,1.272751618,1.550771369,0.732033222,-0.666531721,-0.748539282,0,-1.093414079,-0.477081017,-0.750669772,-0.746082936,0.590401149,0.223606798,-1.188150647,0.515406446,-0.598760954,-0.507169275,0.363034094,-0.336026058,-0.029848472,-0.137085004,-0.502537076,-1.029874613,-0.169857216,0.478273985,-0.495603946,0.587751922,0.846304164,-0.509595816,0.166277921,0.89214393,-0.227264148,0.537325631,-0.723298487,0.479808124,0.59241042,0.873990751,1.035463037,-0.460204575,1.497217411
Argentina,2006,-0.797651012,1.04639607,0.818835695,0.50027425,0.877595677,-0.878252832,1.639527832,1.683303199,0.743305586,-0.256167473,-0.580540327,0,-0.895031992,-0.209232132,-0.58129305,-0.216261839,0.384330358,0.223606798,-0.478360745,0.007503117,-1.179100287,0.397693735,0.695658143,-0.546334489,-0.200665725,0.064394396,-0.117353454,-0.73555147,0.484533607,0.311087074,0.011752764,-0.429126443,-0.121599751,-0.004057614,-0.010892802,1.078144801,0.070784377,0.282611417,-1.126967951,-0.218651005,0.457640093,0.64709137,1.12812051,-0.325088711,1.297191899
Argentina,2007,0.068679084,-0.069637674,0.277866405,-0.146198777,-0.084369574,-1.182536871,1.114656026,1.325184783,0.528955387,0.108140826,-0.41547262,0,-0.572564315,0.435629782,-0.414356206,-0.253955277,0.194822956,0.223606798,0.407668681,-0.431140667,-1.464629115,1.047525898,1.684280787,-0.539153494,-0.967983205,0.068344973,0.141994097,-0.119777344,1.675548356,0.120016318,0.293407161,-0.049219453,-0.046842348,0.435557146,0.774274239,1.394447045,0.252961335,0.218285092,-1.257273448,-0.351520373,0.293731401,0.414849363,1.074322023,-0.317358472,0.932321198
Argentina,2008,0.354639506,0.291213582,1.16784901,-0.532810059,-0.385218935,-1.459799526,0.772009192,1.108057984,0.456899578,0.311711147,-0.251067234,0,-0.138335139,0.487299156,-0.247783131,-0.054737054,0.049372442,0.223606798,1.129251417,-1.05447657,-1.723184888,1.5654023,-0.356559522,0.113391678,-0.967983205,0.119702467,0.334980253,0.609138483,1.227122383,-0.142705971,0.995803965,-0.027039756,-0.053608836,1.052757094,0.46762456,1.269676118,-0.024739913,-0.080669228,-1.439467075,-0.22955521,0.201116498,0.048690927,0.819268422,-0.257160082,0.553549903
Argentina,2009,-0.060363827,0.367663713,-0.210751413,-0.182640466,0.045498562,-1.186250601,-0.137128408,0.36949098,-0.204626954,-0.179252245,-0.081324001,0,-0.305992052,-0.069327055,-0.076592261,0.027222483,-0.126174188,0.223606798,1.263283799,-1.504663611,-1.454384866,1.688909019,-0.416619328,0.475284063,-0.88269823,0.317231291,0.728713738,1.259299013,0.499277549,-0.274067115,1.287072025,0.750280333,0.888475237,1.510109622,-2.394439681,0.354807714,0.390923186,-0.205806925,-1.345173096,0.606746736,0.078218156,-0.228571904,0.47857126,0.404363976,0.038970052
Argentina,2010,0.376540214,-0.354923033,-0.507411927,-1.043636013,-0.228766567,-1.421782589,-1.429676473,-0.008669846,-0.339202824,0.311250833,-0.038279307,0,0.225750543,0.239400334,-0.014383788,0.190436237,-0.281863254,0.223606798,1.483145255,-1.816331563,-1.135380323,1.308091666,-0.024339997,1.371540572,-0.79722561,0.32908302,1.031790281,1.538309179,-0.243919351,-0.477079793,1.461991419,0.593274199,0.840682908,1.811777624,1.090410679,-0.223628994,0.575368872,-0.231483026,-0.883495216,-0.908084224,-0.029482022,-0.434199813,-0.096141636,0.419465689,-0.334570034
Argentina,2011,0.792112467,-0.817912591,-0.071146645,-1.45778208,-0.614890172,-0.666873191,-1.618423512,-0.379568409,-0.707362963,0.745104426,0.157290329,0,0.850642385,0.53285092,0.176674605,0.352210813,-0.395195781,0.223606798,1.515063287,-1.677812473,-0.483826486,0.906050359,1.060398831,1.641657119,-0.541558327,0.380440514,1.27780994,1.470522626,0.832847533,-0.584557093,1.328758235,0.461824448,0.861741212,1.675541441,0.471749605,-0.806198339,0.29611572,-0.370846612,-0.192628574,-0.962679382,-0.178672763,-0.579700229,-1.035526676,0.529983918,-0.675162364
Argentina,2012,1.070764625,-0.622656556,0.016106704,-0.906070354,-0.999119683,0.088039121,-1.125884024,-0.677250496,-0.767971429,0.805899545,0.352340692,0,0.943463146,0.901656003,0.366172979,0.648720946,-0.537286219,0.223606798,0.997273408,-0.904414223,0.428968084,0.555278017,1.913493951,1.275496329,-0.370988375,0.423896855,1.371143744,1.307200425,-0.660854887,-0.751744004,0.802391447,0.512263543,0.294805727,0.908658103,-0.676815859,-1.624373395,0.477514021,-0.532275773,0.640754586,-0.915836966,-0.384796868,-0.724316998,-1.833586787,0.574955516,-0.942297966
Argentina,2013,0.845556902,-0.969403118,-0.193300541,-0.722220231,-0.654872824,0.55551753,-0.939860424,-1.296410866,-0.883141127,1.049538933,0.546515815,0,0.978910306,1.127430412,0.554903092,0.829704413,-0.607929243,0.223606798,0.634090695,-0.0963862,1.059778555,0.175257158,0.632047462,0.510231166,-0.115389278,0.435748585,1.254080592,1.059834641,-0.334224071,-0.668150548,0.688977201,-0.043959022,-0.33085696,0.094541503,0.223112138,-1.619604033,0.784622823,-0.745435222,1.25338364,-0.871729051,-0.48523093,-0.832863765,-1.876388387,0.590747799,-1.123906461
Argentina,2014,0.88889005,-0.768936511,-0.647016722,-0.431427918,-0.655231279,0.837956103,-0.804345255,-1.316699161,-0.953432037,0.881432429,0.739409706,0,0.828129362,1.014624087,0.742995336,0.799594315,-0.681475568,0.223606798,0.301308345,0.296084554,1.269391386,-0.095279099,0.087987395,0.544787301,-0.37075808,0.538463573,1.021123923,0.783804209,-1.417864776,-0.763685926,0.411496746,0.407852567,-0.735908107,-0.299131086,0.686611952,-1.486349077,-0.221990235,-0.95765908,1.390120826,-0.806859475,-0.596425277,-0.927045563,-1.636144829,0.669301492,-1.163991654
Argentina,2015,0.943876068,-0.86579781,-1.048381324,-0.549899323,-0.856180362,0.340604748,-0.782842859,-1.025215775,-0.907810237,1.155469378,0.93060893,0,1.229521669,1.064369575,0.929748799,1.10002612,-0.836253821,0.223606798,-0.005984681,0.653925536,1.39171259,-0.192284493,-0.824962062,1.100411416,1.50528109,0.771547585,0.716609175,0.507767895,-1.085550806,-0.727860159,0.207109291,-3.302085239,-3.016057272,-0.64850007,1.090410679,-1.481868986,-0.720965267,-0.88594483,1.53202188,-0.805100632,-0.809160378,-0.973877725,-1.204488765,0.967955788,-1.099929356
Argentina,2016,1.065715457,-0.746681279,-1.200045244,-0.347110057,-1.221307559,-0.755396844,-0.459937548,-0.505840645,-1.155737974,1.045394004,1.120127958,0,1.011213386,0.966062045,1.115158782,1.190529667,-0.990025184,0.223606798,-0.265405476,0.81553114,1.168482788,-0.158855573,0.77401654,0.520724844,2.272845872,0.783399314,0.359833064,0.033524099,-0.897340392,-0.883105148,-0.086862955,-0.404241274,-0.195654764,-0.819463382,1.090410679,-0.882467058,-0.849539125,-0.743202123,1.270316765,-0.788815304,-1.04452678,-0.983555208,-0.571587033,0.969202322,-0.972971434
Argentina,2017,0.917185886,-1.194880289,-3.98E-10,-0.699771834,-0.943587723,-0.409982161,0.1564937,-0.544250676,-1.398044805,0.868536621,1.3080102,0,1.516237163,0.837073069,1.299247213,1.14020065,-1.14612828,0.223606798,-0.399595917,1.13874235,0.920142309,-0.138695201,-1.087838414,-0.363554,2.357627718,0.870311997,0.07817622,-0.694982723,-1.699512655,-0.930872837,0.015605929,-0.589474414,-0.684800527,-1.141885179,1.090410679,0.11157658,-1.538967252,-1.028859046,1.063737935,-0.864603793,-1.296994634,-1.036179931,0.109180505,1.044743318,-0.826429191
Argentina,2018,0.665231408,-1.272276507,-3.98E-10,-0.463870037,-0.805134608,0.75208012,0.142144584,0.114937105,-1.345061547,0.757078902,1.493927803,0,0.819330629,0.617236247,1.481885658,1.198137195,-1.306300107,0.223606798,-0.710417529,1.300347954,0.674781064,-0.058294571,0.594318951,-1.281675264,0.567470475,1.154753503,-0.188239826,-1.35596649,-1.455474109,-1.014466292,0.103428638,-0.878719775,-0.925189154,-1.303696446,-0.429426273,0.81312232,-1.424213441,-1.211337617,0.756960153,-0.31312192,-1.576907942,-1.06975775,0.521772881,1.137805124,-0.66748706
Argentina,2019,0.286414956,-1.186900641,-3.98E-10,-0.938990298,-0.656014307,1.951719515,0.249279824,0.750514843,-0.24237794,0.351780914,1.677579374,0,0.367281087,-0.154794599,1.662976223,0.870543638,-1.377889673,-4.248529157,-1.521478122,1.577386133,0.791398746,0.191962079,0.663095879,-2.661998108,0.396576406,1.170555808,-0.686951835,-1.643840099,-0.400239934,-1.074175904,-0.021172185,-0.839631137,-0.916144836,-1.576237385,1.090410679,0.915370255,-1.774854036,-1.336762519,0.813000112,-0.290475726,-1.69289197,-1.089818149,0.757772024,1.146355312,-0.521087787
Australia,2000,1.127689479,1.568767179,-1.628707324,1.752839866,-0.823656535,-0.459583805,1.146156119,-0.892673065,2.085452832,-2.229757786,-1.441622467,0,-1.440076805,-0.492695009,-1.409861986,-2.19929815,1.116660692,1.259419927,2.38178735,-1.190841194,-1.16351388,-0.737642745,0.402567209,-1.41123499,-2.307794519,-1.310192222,-1.051016569,1.512011912,-0.869521245,1.647543401,-0.814532595,2.130698974,1.483975738,1.192329202,0.274465735,0.677559112,-2.013740182,1.886459518,-1.2835584,2.38326847,0.730109979,2.47668486,0.603856817,-1.266291527,-2.31552455
Australia,2001,1.058539187,1.49101645,-1.337257607,1.513792174,-0.921500402,-0.399935957,1.750365261,-0.849275389,1.666465952,-1.847298214,-1.344379805,0,-1.527081649,-0.501033736,-1.313150044,-1.260391315,0.997771622,1.157040756,2.109838716,-1.265973131,-1.711021466,-0.947255243,1.798839533,-1.53417761,-1.771487944,-1.283881056,-0.336499069,1.448569337,-0.004693553,1.435397091,-1.704701587,2.588573624,2.896769384,1.271818393,-0.029249674,1.122497378,-2.003806793,1.61378594,-1.764187939,3.084405253,0.674185648,1.959981351,1.166164321,-1.257007222,-1.515281856
