This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202403 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192709,  -4.9477,  -6.7818,   0.5161,   0.1363,   0.6835,   2.7947,   7.9706,   3.3378,   1.1362,  -1.0265,   3.4372,   0.1308,   1.9977,   1.6582,   9.2306,   4.1889,   3.1316,   4.9157,   4.2554,   9.8708,   6.1583,   4.0775,   5.5837,   3.9928,   5.5923
192710,  -8.8937,  -8.6198,  -2.2257,  -3.1249, -10.1170,   2.3056,  -1.0019,   0.1023,  -4.2252,  -4.3916,  -0.6665,  -1.6297,   0.3811,  -3.9966, -10.0271,   0.5125,  -1.9353,  -2.6703,  -4.7038, -11.7810,  -5.0438,  -2.2322,  -4.1542,  -6.4498, -14.5457
192711,   6.8966,  11.2831,  16.5300,   9.3968,  12.1263,  14.1996,  15.1979,   8.1785,   9.0306,   8.4672,   6.3767,   8.6450,   8.1323,   7.0418,   9.8739,   7.6668,   8.4366,   7.6681,   7.7686,   8.1010,   7.0786,   6.5042,   5.9958,   7.0421,   8.0776
192712,  -3.9895,   5.6253,   3.8034,   4.5314,   6.9476,   4.9187,   3.7364,   2.3803,   3.0063,  -0.3356,   4.5671,   4.6301,   5.0483,   3.4427,  11.3299,   0.0688,   5.5596,   4.3273,   1.6662,  -2.3196,   2.8565,   1.3058,   1.2653,   2.4490,  10.3769
192801,  -8.2364,   9.1735,   5.0289,   1.7826,   9.9855,   1.3515,   3.8725,   0.3039,   5.1745,   2.2786,   4.8614,   2.7913,   4.0871,   2.1993,  -5.8473,   1.7794,   1.0807,   0.2716,   2.2149,   0.3207,  -1.2721,  -0.2557,  -0.6328,  -1.6406,  -5.0648
192802,   0.6463,  -4.7897,   5.7752,   3.0179,  -4.8289,  -5.7780,  -2.0575,  -2.5744,  -1.9327,  -5.6043,  -2.5599,  -1.9367,  -2.8590,  -2.5201,  -6.2804,  -4.7542,  -0.8688,  -2.0537,  -3.0113,  -8.5240,  -0.1501,  -0.6324,  -0.4929,  -2.1203,  -1.3892
192803,  40.0538,   0.3317,   2.0746,  -2.6996,   8.9589,   4.7209,  11.7987,   6.8588,   7.6800,  14.3977,   6.4521,  11.7292,  10.0730,   3.1410,  11.7466,  16.3755,   9.0919,   5.4936,   7.7651,   7.9080,  15.7618,   5.2287,   6.6552,   5.6532,  16.7279
192804, -12.8663,  14.8714,  17.1059,   2.9593,  15.5896,   0.3536,  23.2107,   3.6931,   4.4740,  10.4199,   7.9350,   4.5180,   7.3613,   4.5859,   6.9890,   5.2402,   4.9500,   2.3826,   4.5398,   3.7146,   1.4240,   6.8040,   6.6218,   2.7700,   3.3096
192805,  17.7179,  -3.2401,   4.3676,  14.0931,   5.7369,   2.0846,   3.8072,   5.5440,   6.1501,   3.2917,   2.7653,   6.8507,   1.2947,  -1.3429,  -3.1876,   5.3993,  -0.3854,   1.1098,   1.1637,   2.1587,   2.0904,   2.1380,  -0.5398,   1.2095,  -3.8808
192806, -19.2709,  -8.7586, -13.2701,  -8.5641,  -9.4437,  -5.7393,  -9.2721,  -8.6130,  -7.7717,  -6.1054,  -6.4146,  -4.6534,  -7.1760,  -7.2972,  -6.8830,  -7.1399,  -5.5156,  -3.4289,  -5.7935,  -5.8891,  -3.0501,  -3.6311,  -3.5131,  -4.8622,  -9.1120
192807,  -2.0217,   3.5783,   5.3781,   2.0360,  -0.3159,   1.0836,  -3.7660,  -1.0971,   0.7975,  -2.6184,  -0.0450,  -0.3073,  -0.6790,   0.3334,   1.2948,   0.8279,  -0.6082,   1.3260,   1.5005,   0.8680,   1.5815,   0.2324,   0.1677,   0.2981,   0.7709
192808,   7.5257,   0.5454,   4.1219,   2.1206,   3.5138,   6.8023,   3.8248,   3.6769,   3.2564,   4.4985,   6.4729,   9.0259,   8.4449,   4.1657,   8.1965,   9.9038,   8.1583,   6.4443,   7.8532,   7.7317,   8.6838,   6.5887,   5.2701,   4.4373,   4.9839
192809,   3.7129,   3.1614,   1.9913,  -0.2092,  13.4251,   3.1124,   2.6504,   5.7641,   5.0156,  13.4684,   5.8003,   4.7312,   5.4875,   6.4449,   3.0627,   5.3886,   6.4645,   2.9592,   3.0408,   5.9184,   2.7157,   1.0239,   2.2561,   0.5861,   6.9590
192810,  -3.9425,  -3.8706,   4.3844,   3.7426,   6.4494,   4.9618,   3.0676,   2.2705,   1.3937,   2.2085,   3.9548,   4.9745,   2.6200,   0.2244,  -2.5111,   1.1211,  -1.0220,  -1.7468,   4.7413,  -3.6579,   1.5307,   2.9072,   1.3468,  -0.3684,   4.7495
192811,   3.8603,  30.1944,   7.7079,  16.7282,  12.7121,   6.6986,   7.8768,  10.3010,  13.4891,   8.2536,   9.6832,  11.3499,  18.7077,  13.5730,  16.1244,  10.9133,  11.8047,   9.7497,   7.7142,  14.2633,  11.5523,  10.4470,  16.0161,   9.1268,  17.8916
192812,  -5.4317,  -7.6129,  -5.4498,  -2.4336,  -1.7584,  -2.0855,  -2.6779,  -0.8414,  -4.1034,   0.3545,   2.9875,  -0.1130,   1.0567,   1.3172,   0.1950,   3.3647,   3.7035,   0.3174,   1.8959,  -3.3414,   0.5488,   1.1329,  -1.0390,   1.2815,   0.3681
192901,   2.9249,   8.2497,  -4.6113,   5.9949,   5.0850,   3.0510,   1.4272,   1.3733,  -0.2831,  -0.5381,   1.7963,   4.7587,  -4.7563,   3.8886,   2.4857,   4.6200,   4.8862,   3.7195,   1.2154,   1.1437,   6.5712,  10.2483,   2.3079,   4.9558,   0.0249
192902,   0.9617,  -7.9993,  -3.1236,   0.0022,  -1.3350,  -3.2503,   1.8518,   3.7589,   0.6559,   5.2949,   1.3557,   0.1955,   0.5910,   3.9779,   0.2441,  -1.4383,   1.4211,   3.5099,   0.3941,   1.9268,  -0.7916,   1.0302,   0.4413,   0.7335,   3.4624
192903, -14.5269,  -0.6033,  -2.9370,  -4.8020,  -2.2935,  -4.0760,  -5.8595,  -5.0828,  -2.3570,  -3.5270,  -6.8813,  -4.9069,  -2.7999,  -3.1709,  -5.7807,  -4.4668,  -5.1368,   0.2326,  -1.2300,  -1.1298,  -0.1714,   0.7840,   3.5141,   0.0416,   0.7663
192904,  -4.4228,  -8.8377,  -0.2482,   7.4085,  -1.9532,   0.0014,   0.8046,   4.7606,  -2.2911,   5.5759,   2.3639,   0.6879,   3.7299,  -0.2524,  -0.2471,   2.7085,   0.2672,  -0.4971,   1.7735,   4.5725,   2.0952,   2.8600,   0.8808,   0.8070,   2.8638
192905, -21.8773,  -6.4153, -17.4473, -15.5732, -12.9566, -11.2609, -11.7596,  -8.2818, -13.3411, -13.9818,  -7.0550, -10.5040,  -8.0171,  -9.0168,  -9.2075,  -7.1604, -10.5007,  -3.2425,  -5.0181,   0.9380,  -5.6330,  -5.9171,  -3.0771,  -2.6958,  -1.6714
192906,  15.9956,   4.0699,   4.0079,   6.8584,   6.7252,   3.6693,   6.7134,  11.0624,   4.2488,   6.7060,   7.3199,  10.8677,  10.0664,   7.9280,   8.5839,  13.3715,  10.7450,  11.0638,   9.1239,   3.5929,  11.9075,  13.6428,   7.9115,   7.7838,   4.7418
192907,   1.2390,  -5.2223,  -1.8987,  -8.9964,   2.3089,  -2.2962,   2.4271,  -1.5928,   0.3667,   6.2160,   0.4357,   3.7091,   0.8701,   0.0172,  10.7093,   1.8868,   2.7486,   1.9763,   2.4422,   4.4353,   2.9497,   6.5495,   5.9956,   8.4802,   5.1378
192908,  -4.1263,  -4.2272,  -8.9336,   4.6324,  -4.6987,  -1.2892,   0.4637,   0.3340,   0.8486,  -0.5221,   1.7465,   0.6631,   5.6055,   2.1585,  -0.2876,   3.3402,  -0.1111,   4.2272,   5.3704,   7.7631,   6.7578,  13.0514,  13.3057,  13.4117,   6.8157
192909, -10.3134,  -2.4655,  -7.9609,  -5.8301,  -9.8426,  -7.5726,  -2.8525,  -4.7079,  -6.0842,  -2.0950,  -9.2610,   0.0135,  -1.4471,  -4.0704,  -0.6119,  -0.8643,   1.2162,  -4.3563,  -4.0748,  -7.2368,  -5.6283,  -3.8120,  -4.0339,  -7.1977,  -6.8662
192910, -26.2937, -23.6557, -16.5926, -23.7403, -16.9079, -19.6051, -19.0930, -22.7131, -16.0753, -17.4290, -28.2612, -20.3218, -12.4748, -15.3673, -19.0514, -29.2963, -22.8621, -16.4078, -13.4348, -17.0225, -24.6689, -20.3578, -13.1589, -10.5988,  -7.4875
192911,  -1.3563, -16.5163,  -3.9427, -15.8807, -15.5459, -19.3908, -14.8777,  -9.7865, -10.2741, -14.0298, -14.0294, -12.9066,  -7.7906,  -8.5715, -12.2012, -14.9201, -14.3154,  -7.6362,  -8.7952, -11.3882, -13.1881, -16.8699, -10.0958,  -9.6514,  -6.3322
192912,  -0.4171, -22.4125, -15.9780,  -7.9945,  -3.1236,  -4.7068,  -6.2239,  -7.3655,   0.5299,  -4.5194,  -2.0972,  -0.9108,   2.1092,  -1.9607,   5.3308,   2.3324,  -3.1894,  -2.6447,   0.6247,  10.9509,   3.7920,   3.5643,   0.4456,   0.6386,   0.8787
193001,  -2.7769,  10.0635,  21.8963,  11.8021,  10.9299,   7.8448,  12.0906,   8.9512,   4.7055,  14.5598,   9.6247,  10.6585,   4.1473,   6.3468,   4.1286,   8.4520,   6.1191,   5.5736,   3.4816,   3.9395,   6.8371,   7.6055,   0.6769,   4.9891,  -0.4104
193002,  16.9723,  14.2778,  -1.8447,  -1.4082,   2.7560,  -1.9117,   2.3173,   4.1591,   1.4123,   5.2390,   1.7809,   3.1474,   2.8768,   2.8388,   2.8365,   2.6019,   8.2043,  -1.2895,   0.2799,   1.0041,   2.9883,   4.5480,   1.1713,   1.4888,   4.9676
193003,  22.8187,  -1.8224,   9.0638,  16.7068,  11.7961,   6.2672,   4.6523,  14.0850,   8.3640,   5.5369,   9.5191,   8.4823,   6.3485,   9.6148,  14.1204,   8.5857,   6.8098,   6.8329,  12.1547,  10.9418,   6.5076,   6.1455,  11.4727,   4.4912,   2.1312
193004,  -6.9121,  -4.8411,  -6.4318,  -7.7391,  -5.3932,  -8.8133,  -4.7980,  -3.1293,  -3.8649,  -5.1737,  -3.8056,  -4.3531,  -5.0079,  -3.1781,  -2.4801,  -2.5085,  -5.2473,  -5.2602,  -5.1203,  -4.4542,  -0.8256,  -3.3276,   0.0444,  -6.1794,  -7.3356
193005,  -2.4085, -13.4212,   2.0615,  -5.1405,  -6.2496,  -5.8346,  -1.5137,  -5.2674,  -4.3309,  -2.5617,  -3.6907,  -0.5319,  -3.2308,  -3.0853,   0.3779,  -2.7179,  -3.6175,  -3.4578,  -0.1329,  -4.8121,   0.7935,   0.0636,  -2.0419,  -1.5224,  -0.7952
193006, -13.4475, -19.8604, -18.0562, -15.2347, -20.9092, -23.7959, -17.5658, -16.7456, -17.3954, -18.7022, -14.4283, -17.9878, -13.8546, -14.4696, -17.5016, -21.4890, -17.2509, -15.7879, -14.1465, -18.5017, -17.7473, -16.7821, -13.4031,  -9.5365,  -9.6586
193007,   2.6405,   4.0962,  12.9011,   2.8435,   1.2934,   7.8436,   6.3313,   4.9914,   2.8862,   0.8179,   6.2628,   5.7430,   3.3278,   4.8204,   2.8600,   5.7445,   4.5614,   4.0613,   2.3203,  -0.4418,   5.1503,   3.8587,   3.4147,   2.4026,  10.2405
193008,  -9.3290,  -8.5398,  -3.2926,  -5.9680,  -3.6636,  -3.7641,   0.3784,  -0.8875,  -2.6803,  -0.9432,  -2.6558,  -1.2847,  -1.8241,  -1.1936,  -1.1033,   1.4117,  -0.5815,  -1.4286,  -2.5650,   4.9078,   1.3738,  -0.4376,   0.4483,  -1.5645, -24.0437
193009, -30.8037, -33.7274, -29.9790, -19.3383, -19.5708, -14.4077, -14.2594, -14.4433, -15.6804, -19.7007, -12.6977, -14.6166, -12.0333, -15.5330, -21.7125, -12.8516, -14.4169, -13.1091, -12.3893, -21.9445, -12.6150, -11.6709,  -9.3752, -14.6559, -28.0576
193010, -31.8635,  -9.2415,  -6.8098, -14.9920, -10.1433,  -6.1250, -11.4794, -10.3726,  -9.7261,  -8.3386, -13.8209,  -8.9189,  -5.9314, -11.4367, -18.7547, -11.4962,  -9.2923,  -8.2050, -11.4848, -12.5795, -10.0306,  -6.8773,  -6.8661,  -8.7860, -20.0000
193011,  19.7776, -15.4883,  -4.4972,  -1.2823,  -3.7321,  -6.5242,   1.9767,  -3.7353,  -2.5188,  -4.3808,  -0.9718,  -0.4854,  -2.4579,   2.0941,  -5.5072,  -0.7510,   0.7053,  -2.3349,  -5.3992,   2.0773,  -2.4413,  -1.4559,  -4.9502,  -7.3212, -12.5000
193012, -18.3651, -25.1568, -24.3865, -14.2104, -16.9373, -14.2965, -11.3900, -12.9925, -16.5179, -18.6109,  -5.0958,  -9.0286,  -7.6491, -11.5397, -17.5956,  -7.9587,  -9.2379, -11.5567, -10.0210, -16.2478,  -5.4135,  -8.1122,  -7.2986, -10.8463, -30.0000
193101, -23.7063,  22.1097,  15.7748,  16.8375,  19.4220,  13.2320,  11.2384,  12.9729,  14.4569,  15.2454,  11.1029,   8.7442,   9.5172,   8.1815,  18.8467,   7.6222,   6.7085,   5.1261,   8.4684,  11.8036,   4.3521,   4.6280,   7.6666,  17.0431,  34.6939
193102,  17.7692,  20.6779,  48.6609,  23.9869,  23.7275,   9.7005,  11.0540,  10.7717,  11.5623,  15.4724,  15.3071,  14.5469,  12.7887,  10.7057,  12.5929,  13.1132,  11.6408,   8.4028,   6.8454,  17.0764,  13.9055,   9.0614,   5.0416,   7.1083,  42.4242
193103,  -7.7882,   0.7521,  -1.7800,  -4.3242,  -8.7714,  -1.5484,  -8.4131,   4.2981,  -5.6663,   1.3997,  -0.6672,  -7.3831,  -4.0039,  -5.1014, -12.6798,  -6.7898,  -6.4191,  -8.5238, -11.2228,  -0.3388,  -3.7091,  -8.3197,  -9.6583, -11.0548, -19.6809
193104, -15.3550, -25.6785, -23.8191, -14.8757, -16.1929, -16.6512, -17.3893, -11.8188, -14.5941, -20.9237, -11.8992, -13.9425, -12.9780, -18.0338, -17.6793, -13.5875, -10.7985, -15.5997, -12.5160,  -4.2043,  -9.0168,  -8.2543, -10.5875, -10.3096, -23.8411
193105,  -8.5388,   1.2585, -15.8782, -11.6179, -15.9786,  -7.6612,  -8.2087,  -5.7563, -11.1129, -12.0153, -16.6876, -12.9254,  -9.4183, -13.0784, -16.4866, -10.8252, -12.2155, -16.6608, -26.8803, -25.9812, -11.5773, -11.3412, -17.9126, -18.4091, -22.6087
193106,  20.8367,   6.8787,  14.0651,  15.2672,  17.8916,   9.5076,   8.2836,   1.3835,  12.3569,  21.1110,  13.8253,  11.3144,   7.7567,  18.5601,  28.2694,  14.8417,  14.8933,  19.0635,  33.0049,  25.4006,  12.7865,  13.9683,  15.2704,  22.1221,  40.4494
193107,  -6.3445, -11.4113,  -9.6939,  -7.0474,  -5.3213,  -5.2584,  -5.3039,  -7.4328,  -6.1290,  -7.3422,  -6.4514,  -7.6105,  -9.9132,  -8.4759, -12.8129,  -5.3195,  -4.9202,  -8.2726,  -9.0779, -13.5493,  -5.3258,  -6.9403, -11.2608, -12.7018,   0.0000
193108, -13.2200,  -0.2852,  -5.0247,  -5.2131,  -5.1187,   4.7199,  -0.5336,   3.2641,  -1.6099,  -4.4842,   0.5280,  -0.7035,  -1.3926,  -3.2907,  -4.6482,  -1.1172,  -1.9039,   1.8384,   3.7954,   6.6549,   0.0614,   1.8340,  -1.2729,  -3.2538,   8.4337
193109, -49.4730, -30.5381, -28.4077, -34.9782, -32.0536, -26.5943, -25.1307, -35.2638, -30.4489, -37.3877, -26.9722, -30.4951, -31.3505, -33.2898, -33.9136, -29.5837, -25.0885, -29.7345, -34.0692, -41.4557, -29.2800, -25.1550, -31.2537, -33.3005, -45.5556
193110,  12.6793,  -3.0079,   0.5496,   8.9435,   6.4516,   7.0723,   1.3821,   8.8441,   7.5305,  12.7797,  -0.9354,  13.4218,  11.0331,   8.8274,   6.6358,   9.2478,   6.2414,  11.6314,  12.2502,  13.1310,   9.3606,   7.0218,   0.2466,   3.8812,  20.4082
193111, -23.9803, -22.2863, -10.2839,  -8.3374, -11.5092, -12.8176,  -7.5193,  -7.8370,  -5.4125, -11.0263,  -6.3673,  -9.4867,  -5.1530, -11.0222, -10.6534,  -7.5978,  -3.7603, -11.2361, -13.6099, -11.4839,  -5.8113, -11.1300, -20.0368, -21.5714,  -6.7797
193112, -25.3044,  -2.9122, -19.4012, -27.1776, -25.0586,  -9.0769, -12.4153, -14.3556, -18.5380, -24.1234, -15.1630, -18.1031, -17.5681, -14.9950, -15.6856, -10.8939, -13.9211, -11.1588, -21.5493, -25.7755, -10.5654, -16.4386, -21.6543, -22.9408, -30.9091
193201,   5.5527,  -5.9907,   8.3063,  14.2165,   6.0887,  -0.3044,  -1.3482,   5.4795,  14.3969,  18.3762,   0.4872,   3.7308,   2.7428,  -1.6891,   5.5140,  -3.4174,  -0.3956,  -0.5579,   3.8507,   1.9409,  -3.6929,  -1.5137,   2.5942,  10.9191,   7.8947
193202, -12.7896,  -0.0154,   5.8810,  -1.9977,   3.4665,  -5.4119,   3.2908,  -2.3221,  -4.5816,  -1.1353,   0.5078,   3.2113,   2.3879,   0.2285,  -1.4858,   3.3679,   5.2088,  -1.3997,   1.2611,   3.7601,   7.2592,   5.6243,   3.3144,  -3.3170,  14.6341
193203, -23.0216,  -3.9056,  -3.2485, -11.5349, -11.8922,  -4.8922, -14.1355, -11.4193,  -4.3036, -13.2422,  -9.1849, -14.4244, -11.5530, -13.3842, -10.9956, -10.5899, -10.9531, -11.3353, -12.3945, -10.1478, -10.9710, -10.4864, -13.7685, -23.2023,   2.1277
193204, -40.7620, -16.8293, -25.8159, -19.4433, -18.0051, -19.9193,  -8.1414, -14.4050, -17.4530, -14.3736, -18.6450, -13.5659, -15.0516, -16.3965, -22.3498, -15.0637, -15.6276, -17.4525, -14.2341, -15.2035, -18.1767, -20.7489, -18.7549, -22.1641, -22.9167
193205, -12.8641, -35.2372,  -5.8922,  -5.1067, -10.2889, -11.9878, -21.7501, -22.0395, -17.3451, -20.4772, -26.9774, -23.5621, -26.9984, -24.0855, -26.4443, -20.5669, -20.1651, -18.1172, -18.5790, -27.9405, -20.4176, -16.9797, -31.1270, -36.7136, -10.8108
193206,  35.7939, -16.9948,   5.3018,  -5.9335,  -3.4124,  -8.6164,  -4.7937,  -5.1464,  11.2392,   6.5301,   8.0378,   4.5848,   7.2774,   5.2316,   0.9372,   1.6475,   3.4205,  -4.7307,   9.3777,   0.4792,  -3.1255,  -0.2860,   4.9866,   9.1629,  21.2121
193207, 147.8401,  14.3231,  39.3873,  38.2866,  54.5473,  37.5774,  27.6658,  41.8126,  51.9356,  69.5152,  27.4769,  30.3893,  39.6205,  55.0205,  68.8204,  30.7562,  33.7026,  35.9826,  68.8873,  80.0358,  26.5359,  37.2059,  50.2559,  56.9670,  98.0392
193208,  49.3739,  94.6241,  91.2211,  83.8394,  99.5503,  34.3849,  67.0166,  56.1689,  62.6508,  89.9724,  54.6595,  39.7036,  46.8716,  70.2610,  70.4852,  29.2301,  45.5890,  64.2649,  63.5623,  86.6040,  30.9221,  35.1841,  47.4496,  52.0435,  65.3465
193209, -27.1191, -11.0603, -17.6798,  -4.5548, -17.2166,  -0.7174,  -6.3692,  -5.5381,  -7.9104, -12.5966,  -5.2401,  -7.8092,  -2.7272, -11.9790,  -9.1765,   0.6576,  -5.1313,  -7.6634,  -6.9258,  -8.9044,   0.5101,  -6.4866,  -8.4468,  -2.8222,  15.5689
193210,  -9.1645, -13.1779, -27.4532, -20.3610, -19.6691, -12.4439, -21.9808, -17.3943, -24.8176, -22.5008, -14.7872, -15.8912, -21.3712, -23.5371, -25.7489, -11.0973, -18.0632, -18.9934, -20.3455, -25.6917, -11.3331,  -9.7990, -15.3346, -19.3893, -30.0518
193211, -26.5600, -13.2958,  -5.2455, -10.7934,  -7.2325,  -3.9727,  -7.5773,  -8.7885,  -7.9941, -17.4380,  -3.7696,  -1.1263,  -8.6184, -10.9389, -15.5085,   2.5040,  -5.2586,  -9.2887, -15.3017, -19.9830,  -3.2596,  -1.8593, -10.3618,  -8.4886, -31.1111
193212,   7.0207, -11.8895,  -8.8766, -12.6054, -16.4472, -18.7311, -16.2821,  -2.1227, -11.4732,  -7.5907,  -2.2114,   3.1720,   1.1864,  -6.2144,  -4.9894,   4.0020,  -0.1222,   1.8730,   0.5351,  -9.9337,   7.2393,   7.3672,   1.5565,  -7.5497,  15.0538
193301,  57.2754,  -0.9456,   4.0428,  -7.1322,   3.5519,   7.5440,   6.0150,   3.3129,   5.4286,   7.6263,   1.5120,   6.8342,   2.2288,   3.9093,  12.8206,   2.3969,   3.6629,   4.2268,   6.0007,  16.5315,  -0.3123,  -0.4417,   4.7568,   3.9118,  14.9533
193302, -44.6775, -18.8320, -19.6492, -14.5265, -15.7559, -26.7740, -26.6756, -19.9278, -20.3694, -21.0749, -16.5311, -17.6144, -18.4226, -19.5462, -19.8148, -13.3752, -16.3136, -13.5511, -12.4654, -22.9726, -14.6858, -17.2065, -15.2692, -17.5340, -24.3902
193303, -16.5161,   7.1789,  -8.5596,   5.6542,  18.4211,  14.2512,  10.1934,   3.3928,  13.6027,  21.9814,   0.0256,  10.2408,   6.1690,  15.7173,   6.6347,  10.4075,  12.6356,  14.8124,  10.1285,   7.9911,  -0.1507,   5.3380,   6.4450,   7.6360,   7.5269
193304,   7.0263,  50.5316, 102.1371,  48.4433,  48.5670,  28.2345,  46.2985,  60.7763,  64.3408,  53.2494,  47.1755,  39.9642,  60.8932,  59.2655,  56.3989,  35.2355,  56.8919,  50.0833,  44.3567,  74.4518,  32.5595,  39.3502,  46.9811,  60.7343,  52.0000
